_input,_pageUrl,my_column,my_column/_source,my_column/_text,TEXT_1,INFOEXCLU_TEXT,PIXM_IMAGE,LINK_2/_text,FONT14_NUMBER
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1111934236/,/trouver_logement/detail/1111934236/,150€ /mois *,150€,,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75017 Appartement 100 m² 1 pièce ,75017
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1084809136/,/trouver_logement/detail/1084809136/,680€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,680€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2434/c21_202_2434_8846_9_1D557982-8367-4838-ABF5-F19B20CB58E3.jpg,PARIS 75020 Appartement 180 m² 1 pièce ,75020
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1072322539/,/trouver_logement/detail/1072322539/,690€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,690€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2257/c21_202_2257_5667_9_FD158B07-5587-433E-A93E-798809D12655.jpg,PARIS 75013 Appartement 190 m² 1 pièce ,75013
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1114088498/,/trouver_logement/detail/1114088498/,696€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,696€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75002 Appartement 167 m² 1 pièce ,75002
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1072327644/,/trouver_logement/detail/1072327644/,721€ /mois *,721€,,http://photosv5.century21.fr/imagesBien/202/2257/c21_202_2257_5668_9_EBE5A0C2-C244-4FC1-A0BB-F839C3502D02.jpg,PARIS 75020 Appartement 190 m² 1 pièce ,75020
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1111446274/,/trouver_logement/detail/1111446274/,724€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,724€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2550/c21_202_2550_4498_9_C486853A-DB44-4567-B62D-B939C9DEAF43.jpg,PARIS 75013 Appartement 200 m² 1 pièce ,75013
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1113151890/,/trouver_logement/detail/1113151890/,747€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,747€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/480/c21_202_480_24735_9_25A2FB53-2C70-4DFC-BB6A-730804CC5851.jpg,PARIS 75012 Appartement 239 m² 1 pièce ,75012
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1086942761/,/trouver_logement/detail/1086942761/,766€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,766€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/44/c21_202_44_15730_9_855992F1-C80C-41D4-BD08-CC2317C62311.jpg,PARIS 75016 Appartement 180 m² 1 pièce ,75016
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1087992507/,/trouver_logement/detail/1087992507/,790€ /mois *,790€,,http://photosv5.century21.fr/imagesBien/202/2571/c21_202_2571_8060_9_0FBAEC91-4A79-4D8B-88A8-A643EE25BD2B.jpg,PARIS 75019 Appartement 2651 m² 2 pièces ,75019
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1104037818/,/trouver_logement/detail/1104037818/,794€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,794€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2550/c21_202_2550_4483_9_118E6916-930D-422A-BCDD-D0A2D4864180.jpg,PARIS 75013 Appartement 2038 m² 1 pièce ,75013
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1111461087/,/trouver_logement/detail/1111461087/,828€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,828€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/470/trans21_4_202_470_6898_9_1.jpg,PARIS 75016 Appartement 230 m² 1 pièce ,75016
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1114033805/,/trouver_logement/detail/1114033805/,840€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,840€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2434/c21_202_2434_8908_9_7F724298-9033-423D-9411-ACB56FB8FF50.jpg,PARIS 75019 Appartement 280 m² 2 pièces ,75019
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1023644032/,/trouver_logement/detail/1023644032/,850€ /mois *,850€,,http://photosv5.century21.fr/imagesBien/202/2864/c21_202_2864_5453_9_16E25A36-AA1E-4EDF-9F8F-621C17972EAF.jpg,PARIS 75016 Appartement 290 m² 1 pièce ,75016
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1111406912/,/trouver_logement/detail/1111406912/,851€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,851€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/483/c21_202_483_13624_9_97563179-6958-4C95-A4F9-191078A6607E.jpg,PARIS 75005 Appartement 2219 m² 2 pièces ,75005
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1102517786/,/trouver_logement/detail/1102517786/,858€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,858€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2932/c21_202_2932_18103_9_9722E975-58CA-414D-BA9F-4524493D193D.jpg,PARIS 75011 Appartement 2683 m² 2 pièces ,75011
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1113607454/,/trouver_logement/detail/1113607454/,858€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,858€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/480/c21_202_480_24736_9_4B8ACFC0-5A6C-4650-B3E9-C9CE5FFF1AA6.jpg,PARIS 75012 Appartement 2722 m² 1 pièce ,75012
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1062427440/,/trouver_logement/detail/1062427440/,860€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,860€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75020 Appartement 350 m² 2 pièces ,75020
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1099092045/,/trouver_logement/detail/1099092045/,866€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,866€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/1045/c21_202_1045_25686_9_522D85BD-F173-44C5-8BDE-FC9CA47520C3.jpg,PARIS 75015 Appartement 263 m² 1 pièce ,75015
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1076823656/,/trouver_logement/detail/1076823656/,870€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,870€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/716/c21_202_716_22519_9_EACECAB8-FDD4-4180-A3E0-DB0C7A27AB1B.jpg,PARIS 75017 Appartement 2184 m² 2 pièces ,75017
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1005916854/,/trouver_logement/detail/1005916854/,890€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,890€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75005 Appartement 180 m² 1 pièce ,75005
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1083848788/,/trouver_logement/detail/1083848788/,890€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,890€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/734/c21_202_734_45133_9_FCBF8232-E8BE-4144-B54A-D02E429862FD.jpg,PARIS 75020 Appartement 3152 m² 2 pièces ,75020
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1062807102/,/trouver_logement/detail/1062807102/,890€ /mois *,890€,,http://photosv5.century21.fr/imagesBien/202/2864/c21_202_2864_5527_9_3B4EC329-92E5-4F5C-901C-2D27AE0F3F21.jpg,PARIS 75016 Appartement 330 m² 1 pièce ,75016
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1091787123/,/trouver_logement/detail/1091787123/,890€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,890€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2814/c21_202_2814_2934_9_2EF5B024-9E34-4EF8-ACB0-B0D255D0B54A.jpg,PARIS 75007 Appartement 210 m² 1 pièce ,75007
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1082648727/,/trouver_logement/detail/1082648727/,891€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,891€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/3165/c21_202_3165_56_9_7E802C78-D8D1-408A-81C4-4A9B9D927244.jpg,PARIS 75013 Appartement 200 m² 1 pièce ,75013
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1109210042/,/trouver_logement/detail/1109210042/,894€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,894€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/1045/c21_202_1045_25693_9_286CCC5E-F49D-44F8-AA3D-E2FD0911942C.jpg,PARIS 75006 Appartement 2218 m² 1 pièce ,75006
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1113643796/,/trouver_logement/detail/1113643796/,895€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,895€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75019 Appartement 310 m² 2 pièces ,75019
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1102000852/,/trouver_logement/detail/1102000852/,897€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,897€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2814/c21_202_2814_2949_9_C6E907D2-1EFC-4B15-9FBB-00E203B2B539.jpg,PARIS 75015 Appartement 2568 m² 1 pièce ,75015
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1086901938/,/trouver_logement/detail/1086901938/,900€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,900€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/483/c21_202_483_13595_9_47BB2E6A-5FDF-4F90-A085-81C8DBC5C37E.jpg,PARIS 75005 Appartement 250 m² 1 pièce ,75005
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1092209762/,/trouver_logement/detail/1092209762/,907€ /mois *,907€,,http://photosv5.century21.fr/imagesBien/202/470/trans21_4_202_470_6873_9_1.jpg,PARIS 75016 Appartement 280 m² 1 pièce ,75016
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1108258978/,/trouver_logement/detail/1108258978/,910€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,910€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/3168/c21_202_3168_3352_9_0236A6AB-318D-44C5-B219-4EC1BB24E535.jpg,PARIS 75016 Appartement 299 m² 1 pièce ,75016
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1114061153/,/trouver_logement/detail/1114061153/,910€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,910€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/715/c21_202_715_21163_9_00D4569D-A763-4034-9565-41995DC6DE42.jpg,PARIS 75020 Appartement 3509 m² 2 pièces ,75020
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1104461811/,/trouver_logement/detail/1104461811/,921€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,921€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75008 Appartement 3128 m² 1 pièce ,75008
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1101998937/,/trouver_logement/detail/1101998937/,933€ /mois *,933€,,http://photosv5.century21.fr/imagesBien/202/481/c21_202_481_13670_9_45B86E8C-BE2B-488E-B54A-42EE74F54019.jpg,PARIS 75010 Appartement 3352 m² 2 pièces ,75010
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1072301894/,/trouver_logement/detail/1072301894/,937€ /mois *,937€,,http://photosv5.century21.fr/imagesBien/202/2257/c21_202_2257_5665_9_3E4166AA-19A3-4E4E-B2A7-92D32639413D.jpg,PARIS 75013 Appartement 310 m² 1 pièce ,75013
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1111441230/,/trouver_logement/detail/1111441230/,940€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,940€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/69/c21_202_69_27379_9_8E58B258-394D-4FB0-9AE3-A3E450431E96.jpg,PARIS 75015 Appartement 263 m² 1 pièce ,75015
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1092213221/,/trouver_logement/detail/1092213221/,945€ /mois *,945€,,http://photosv5.century21.fr/imagesBien/202/2355/trans21_4_202_2355_6653_9_1.jpg,PARIS 75015 Appartement 366 m² 2 pièces ,75015
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1110985034/,/trouver_logement/detail/1110985034/,950€ /mois *,950€,,http://photosv5.century21.fr/imagesBien/202/2401/c21_202_2401_13003_9_38799264-EE39-4563-8745-333D6E4A9594.jpg,PARIS 75020 Appartement 3373 m² 1 pièce ,75020
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1046040090/,/trouver_logement/detail/1046040090/,950€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,950€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/483/c21_202_483_13544_9_D2E449E2-C94F-46C6-97EE-5C6B2F2B7FDD.jpg,PARIS 75006 Appartement 200 m² 1 pièce ,75006
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1113655505/,/trouver_logement/detail/1113655505/,950€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,950€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr//img/nophoto220-146.jpg,PARIS 75014 Appartement 3125 m² 1 pièce ,75014
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1111418927/,/trouver_logement/detail/1111418927/,950€ /mois *,950€,,http://photosv5.century21.fr/imagesBien/202/2401/c21_202_2401_13006_9_592C95F2-DCBE-49BB-A97F-7E2C36F9892F.jpg,PARIS 75011 Appartement 3742 m² 1 pièce ,75011
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1109231339/,/trouver_logement/detail/1109231339/,950€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,950€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/1131/c21_202_1131_21472_9_EF590F17-A35A-417A-8810-51DF79437ABE.jpg,PARIS 75015 Appartement 2706 m² 1 pièce ,75015
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1095966507/,/trouver_logement/detail/1095966507/,950€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,950€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2531/trans21_4_202_2531_8387_9_1.jpg,PARIS 75003 Appartement 290 m² 1 pièce ,75003
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1104892560/,/trouver_logement/detail/1104892560/,960€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,960€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/2814/c21_202_2814_2951_9_FA74D496-3BB2-465F-9BBF-E7D76CDEA2C3.jpg,PARIS 75015 Appartement 3223 m² 2 pièces ,75015
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/1082929264/,/trouver_logement/detail/1082929264/,961€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,961€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/480/c21_202_480_24701_9_92E48DDE-0CF9-4811-B1C6-4646E64DEB52.jpg,PARIS 75012 Appartement 340 m² 2 pièces ,75012
webpage/url:http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/|,http://www.century21.fr/annonces/location-appartement/d-75_paris/s-0-/st-0-/b-0-/p-1-2-3-4-5/page-1-90/,http://www.century21.fr/trouver_logement/detail/980955728/,/trouver_logement/detail/980955728/,970€ /mois * EN LOCATION ICI ET NULLE PART AILLEURS,970€,EN LOCATION ICI ET NULLE PART AILLEURS,http://photosv5.century21.fr/imagesBien/202/483/c21_202_483_13494_9_AEAD0568-C352-406E-AC81-491345D8DCD1.jpg,PARIS 75006 Appartement 250 m² 1 pièce ,75006
